ANNO_NASCITA,SESSO,CITTADINANZA,TOTALE_CITTADINI
1920,F,ITALIANA,1
1922,F,ITALIANA,2
1923,F,ITALIANA,3
1925,F,ITALIANA,3
1926,F,ITALIANA,8
1926,M,ITALIANA,2
1927,F,ITALIANA,5
1927,M,ITALIANA,1
1928,F,ITALIANA,5
1928,M,ITALIANA,1
1929,F,ITALIANA,8
1929,M,ITALIANA,3
1930,F,ITALIANA,8
1930,M,ITALIANA,3
1931,F,ITALIANA,7
1931,M,ITALIANA,4
1932,F,ITALIANA,13
1932,M,ITALIANA,9
1933,F,ITALIANA,14
1933,M,ITALIANA,6
1934,F,ITALIANA,29
1934,M,ITALIANA,13
1935,F,ITALIANA,24
1935,M,ITALIANA,10
1936,F,ITALIANA,30
1936,F,ROMENA,1
1936,M,ITALIANA,13
1937,F,ITALIANA,15
1937,F,ROMENA,1
1937,M,ITALIANA,20
1938,F,ITALIANA,25
1938,M,ITALIANA,17
1939,F,ITALIANA,36
1939,F,MAROCCHINA,1
1939,M,ITALIANA,22
1940,F,ITALIANA,29
1940,M,ALBANESE,1
1940,M,ITALIANA,24
1941,F,ITALIANA,37
1941,M,ITALIANA,27
1942,F,ALGERINA,1
1942,F,ITALIANA,30
1942,M,ITALIANA,26
1943,F,ALBANESE,1
1943,F,INDIANA,1
1943,F,ITALIANA,34
1943,M,ITALIANA,32
1944,F,ITALIANA,41
1944,M,ITALIANA,32
1945,F,ITALIANA,37
1945,M,ITALIANA,22
1946,F,GHANESE,1
1946,F,ITALIANA,37
1946,M,ITALIANA,37
1947,F,ITALIANA,44
1947,F,SRILANKESE,1
1947,F,TEDESCA,1
1947,M,ITALIANA,32
1947,M,MAROCCHINA,1
1948,F,ALBANESE,2
1948,F,ITALIANA,52
1948,M,FRANCESE,1
1948,M,ITALIANA,39
1949,F,ALBANESE,1
1949,F,ITALIANA,38
1949,M,CINESE,1
1949,M,ITALIANA,41
1950,F,ITALIANA,39
1950,F,PARAGUAYANA,1
1950,F,ROMENA,2
1950,F,STATUNITENSE,1
1950,M,INDIANA,1
1950,M,ITALIANA,45
1950,M,ROMENA,1
1951,F,INDIANA,1
1951,F,ITALIANA,34
1951,F,ROMENA,1
1951,M,ITALIANA,41
1952,F,ITALIANA,49
1952,M,ITALIANA,39
1952,M,ROMENA,1
1952,M,SRILANKESE,1
1953,F,CINESE,1
1953,F,ITALIANA,36
1953,F,MAROCCHINA,1
1953,M,CINESE,1
1953,M,ITALIANA,29
1953,M,ROMENA,1
1954,F,BULGARA,1
1954,F,FRANCESE,1
1954,F,ITALIANA,51
1954,F,ROMENA,1
1954,M,ITALIANA,44
1954,M,ROMENA,1
1955,F,ITALIANA,37
1955,F,ROMENA,1
1955,M,ITALIANA,42
1955,M,MOLDAVA,1
1956,F,ECUADORIANA,1
1956,F,ITALIANA,49
1956,F,MOLDAVA,1
1956,M,ITALIANA,43
1956,M,ROMENA,1
1957,F,BRASILIANA,1
1957,F,CUBANA,1
1957,F,ITALIANA,37
1957,F,ROMENA,2
1957,F,TUNISINA,1
1957,M,GHANESE,1
1957,M,ITALIANA,37
1958,F,BULGARA,1
1958,F,ITALIANA,45
1958,F,MAROCCHINA,1
1958,F,POLACCA,2
1958,M,CROATA,1
1958,M,FRANCESE,1
