ANNO,MESE,TIPO_ATTO,TOTALE,MEDIA_GG_APPROVAZIONE,TOTALE_IMPEGNATO,TOTALE_MANDATI_COLLEGATI
2023,7,ATTI DI LIQUIDAZIONE,42,,0,0
2023,7,DELIBERA DI GIUNTA,10,3.5,0,0
2023,7,DETERMINAZIONI,13,,204181.09,5000
2023,7,ORDINANZE,3,,0,0
2023,6,ATTI DI LIQUIDAZIONE,70,,0,0
2023,6,DECRETI,1,,0,0
2023,6,DELIBERA DI CONSIGLIO,4,14,0,0
2023,6,DELIBERA DI GIUNTA,11,2,0,0
2023,6,DETERMINAZIONI,36,,46599.71,17992.9
2023,6,ORDINANZE,5,,0,0
2023,5,ATTI DI LIQUIDAZIONE,80,,0,0
2023,5,DELIBERA DI GIUNTA,17,3.1764706,0,0
2023,5,DETERMINAZIONI,44,,212810.47,152309.64
2023,5,ORDINANZE,12,,0,0
2023,4,ATTI DI LIQUIDAZIONE,57,,0,0
2023,4,DELIBERA DI CONSIGLIO,11,23,0,0
2023,4,DELIBERA DI GIUNTA,11,2.1818182,0,0
2023,4,DETERMINAZIONI,21,,233290.7,55064.44
2023,4,ORDINANZE,8,,0,0
2023,3,ATTI DI LIQUIDAZIONE,61,,0,0
2023,3,DELIBERA DI GIUNTA,24,2.1666667,0,0
2023,3,DETERMINAZIONI,42,,51887.94,14294.94
2023,3,ORDINANZE,11,,0,0
2023,2,ATTI DI LIQUIDAZIONE,100,,0,0
2023,2,DELIBERA DI GIUNTA,14,2.0714286,0,0
2023,2,DETERMINAZIONI,35,,910488.3,454642.12
2023,2,ORDINANZE,1,,0,0
2023,1,ATTI DI LIQUIDAZIONE,69,,0,0
2023,1,DECRETI,1,,0,0
2023,1,DELIBERA DI CONSIGLIO,5,19,0,0
2023,1,DELIBERA DI GIUNTA,7,1.5714286,0,0
2023,1,DETERMINAZIONI,28,,191839.31,53379
2023,1,ORDINANZE,4,,0,0
2022,12,ATTI DI LIQUIDAZIONE,80,,0,0
2022,12,DECRETI,7,,0,0
2022,12,DELIBERA DI CONSIGLIO,4,19,0,0
2022,12,DELIBERA DI GIUNTA,31,2.6129032,0,0
2022,12,DETERMINAZIONI,83,,1009499.21,175535.22
2022,12,ORDINANZE,3,,0,0
2022,11,ATTI DI LIQUIDAZIONE,72,,0,0
2022,11,DECRETI,5,,0,0
2022,11,DELIBERA DI CONSIGLIO,8,23,0,0
2022,11,DELIBERA DI GIUNTA,23,2.24,80000,0
2022,11,DETERMINAZIONI,39,,413043.37,124934.91
2022,11,ORDINANZE,3,,0,0
2022,10,ATTI DI LIQUIDAZIONE,63,,0,0
2022,10,DECRETI,3,,0,0
2022,10,DELIBERA DI GIUNTA,24,3.08,2362000,0
2022,10,DETERMINAZIONI,31,,289330.78,53991.03
2022,10,ORDINANZE,8,,0,0
2022,9,ATTI DI LIQUIDAZIONE,47,,0,0
2022,9,DECRETI,3,,0,0
2022,9,DELIBERA DI CONSIGLIO,10,22,0,0
2022,9,DELIBERA DI GIUNTA,12,1.3333333,0,0
2022,9,DETERMINAZIONI,38,,271842.54,79189.02
2022,9,ORDINANZE,11,,0,0
2022,8,ATTI DI LIQUIDAZIONE,59,,0,0
2022,8,DECRETI,4,,0,0
2022,8,DELIBERA DI CONSIGLIO,3,21,0,0
2022,8,DELIBERA DI GIUNTA,19,0.63157895,0,0
2022,8,DETERMINAZIONI,30,,118948.51,28135.48
2022,8,ORDINANZE,5,,0,0
2022,7,ATTI DI LIQUIDAZIONE,63,,0,0
2022,7,DECRETI,2,,0,0
2022,7,DELIBERA DI CONSIGLIO,6,36,0,0
2022,7,DELIBERA DI GIUNTA,9,1.2222222,0,0
2022,7,DETERMINAZIONI,31,,283765.03,243632.91
2022,7,ORDINANZE,4,,0,0
2022,6,ATTI DI LIQUIDAZIONE,62,,0,0
2022,6,DECRETI,2,,0,0
2022,6,DELIBERA DI GIUNTA,14,1.2142857,0,0
2022,6,DETERMINAZIONI,27,,194367.8,187283.92
2022,6,ORDINANZE,5,,0,0
2022,5,ATTI DI LIQUIDAZIONE,53,,0,0
2022,5,DECRETI,3,,0,0
2022,5,DELIBERA DI CONSIGLIO,12,20,0,0
2022,5,DELIBERA DI GIUNTA,21,1.6666667,0,0
2022,5,DETERMINAZIONI,36,,100597.62,88546.83
2022,5,ORDINANZE,11,,0,0
2022,4,ATTI DI LIQUIDAZIONE,61,,0,0
2022,4,DECRETI,2,,0,0
2022,4,DELIBERA DI GIUNTA,20,1,0,0
2022,4,DETERMINAZIONI,39,,199125.78,146337.35
2022,4,ORDINANZE,7,,0,0
2022,3,ATTI DI LIQUIDAZIONE,72,,0,0
2022,3,DELIBERA DI CONSIGLIO,10,8,0,0
2022,3,DELIBERA DI GIUNTA,14,1.3571429,0,0
2022,3,DETERMINAZIONI,25,,702919.29,770820.87
2022,3,ORDINANZE,3,,0,0
2022,2,ATTI DI LIQUIDAZIONE,78,,0,0
2022,2,DECRETI,1,,0,0
2022,2,DELIBERA DI GIUNTA,32,1.9375,0,0
2022,2,DETERMINAZIONI,24,,11629.72,6880.51
2022,2,ORDINANZE,6,,0,0
2022,1,ATTI DI LIQUIDAZIONE,80,,0,0
2022,1,DECRETI,5,,0,0
2022,1,DELIBERA DI GIUNTA,6,0.5,0,0
2022,1,DETERMINAZIONI,28,,16382.18,16960.05
2022,1,ORDINANZE,3,,0,0
